"","Plot","Quad","Type","Num","Species","Confidence","Dead.Stump","SA.Height_cm","SA.BD_cm","SA.Stems","DBH_cm","X_cm","Y_cm","Notes","iNum","Point","dbh","Basal.Area","Dead","Live","Topkill","gCrown","Survival","Epicormic","Apical","NPoints","bSprout","Year"
"741","PPW1313","A2","SA",1727.2,"HETARB",1,NA,146,1.7,2,NA,31,225,NA,1727,0.200000000000045,1.7,2.26980069221863,NA,1,NA,1,NA,NA,NA,2,NA,2013
"746","PPW1313","A2","TS",1729.2,"HETARB",1,NA,112,1.58,1,NA,485,443,NA,1729,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"747","PPW1313","A2","TS",1729.1,"HETARB",1,NA,173,1.71,1,NA,485,443,NA,1729,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"748","PPW1313","A2","TS",1729.3,"HETARB",1,NA,217,2.12,1,NA,485,443,NA,1729,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"751","PPW1313","A3","TR",1732.1,"ARBMEN",1,NA,NA,NA,NA,17.95,125,240,NA,1732,0.099999999999909,17.95,253.057251742066,NA,1,NA,1,NA,NA,NA,1,NA,2013
"752","PPW1313","A3","TR",1732.5,"ARBMEN",1,NA,NA,NA,NA,25.75,125,240,NA,1732,0.5,25.75,520.768069717721,NA,1,NA,1,NA,NA,NA,1,NA,2013
"753","PPW1313","A3","TR",1732.4,"ARBMEN",1,NA,NA,NA,NA,6.67,125,240,NA,1732,0.400000000000091,6.67,34.9415003515727,NA,1,NA,1,NA,NA,NA,1,NA,2013
"754","PPW1313","A3","TR",1732.2,"ARBMEN",1,NA,NA,NA,NA,21.35,125,240,NA,1732,0.200000000000045,21.35,358.002154335233,NA,1,NA,1,NA,NA,NA,1,NA,2013
"755","PPW1313","A3","TR",1732.3,"ARBMEN",1,NA,NA,NA,NA,38.4,125,240,NA,1732,0.299999999999955,38.4,1158.11671581934,NA,1,NA,1,NA,NA,NA,1,NA,2013
"771","PPW1313","C4","TR",1747.1,"ARBMEN",1,NA,NA,NA,NA,6.11,37,212,"DBH at 130cm",1747,0.099999999999909,6.11,29.3205627757699,NA,1,NA,1,NA,NA,NA,1,NA,2013
"774","PPW1313","C3","SA",1769.1,"HETARB",1,NA,201,1.11,2,NA,69,380,NA,1769,0.099999999999909,1.11,0.967689077121996,NA,1,NA,1,NA,NA,NA,2,NA,2013
"775","PPW1313","C3","SA",1769.2,"HETARB",1,NA,149,1.59,2,NA,69,380,NA,1769,0.200000000000045,1.59,1.98556509688509,NA,1,NA,1,NA,NA,NA,2,NA,2013
"776","PPW1313","C3","SA",1769.3,"HETARB",1,NA,99,0.66,3,NA,69,380,NA,1769,0.299999999999955,0.66,0.342119439975929,NA,1,NA,1,NA,NA,NA,3,NA,2013
"777","PPW1313","C3","SA",1769.4,"HETARB",1,NA,80,0.34,2,NA,69,380,NA,1769,0.400000000000091,0.34,0.090792027688745,NA,1,NA,1,NA,NA,NA,2,NA,2013
"779","PPW1313","C3","SA",1762.1,"HETARB",1,NA,269,1.48,2,NA,79,269,NA,1762,0.099999999999909,1.48,1.72033613710577,NA,1,NA,1,NA,NA,NA,2,NA,2013
"780","PPW1313","C3","SA",1762.2,"HETARB",1,NA,118,1.39,2,NA,79,269,NA,1762,0.200000000000045,1.39,1.51746779150021,NA,1,NA,1,NA,NA,NA,2,NA,2013
