"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp"
"205",1162,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"206",1163,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"207",1164,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"208",1165,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"209",1165.1,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"210",1166,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"211",1167,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"212",1168,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"213",1171,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"214",1172,"PPW1307","PPW1307",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"215",1173,"PPW1307","PPW1307","PPW1307","PPW1307","PSEMEN","PSEMEN","PSEMEN","PSEMEN",1,1
"216",1175,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"217",1176,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEAGR",1,1
"218",1177,"PPW1307","PPW1307",NA,NA,"QUEAGR","QUEAGR",NA,NA,1,1
"219",1178,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"220",1179,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"221",1179.1,"PPW1307","PPW1307","PPW1307","PPW1307","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"222",1180,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"223",1181,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"224",1182,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"225",1183,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"226",1184,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"227",1185,"PPW1305","PPW1305",NA,NA,"ARBMEN","ARBMEN",NA,NA,1,1
"228",1186,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"229",1187,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
