"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"3492",4522,"PPW1320","PPW1320",NA,NA,"AMOCAL","FRACAL",NA,NA,1,2,0,0
"3531",4561,"PPW1320","PPW1320","PPW1320",NA,"FRACAL","FRACAL","UMBCAL",NA,1,2,0,0
"3574",4604,"PPW1320","PPW1320",NA,NA,"FRACAL","UNK",NA,NA,1,2,0,0
"3581",4611,"PPW1320","PPW1320",NA,NA,"HETARB","FRACAL",NA,NA,1,2,0,0
"3582",4612,"PPW1320","PPW1320",NA,NA,"FRACAL","HETARB",NA,NA,1,2,0,0
"3592",4622,"PPW1320","PPW1320","PPW1320",NA,"AMOCAL","FRACAL","FRACAL",NA,1,2,0,0
"3624",4656,"PPW1320","PPW1320","PPW1320",NA,"ARBMEN","ARBMEN","HETARB",NA,1,2,0,0
"3791",4825,"PPW1328","PPW1328","PPW1328",NA,"FRACAL","PSEMEN","PSEMEN",NA,1,2,0,0
"3829",4863,"PPW1328","PPW1328","PPW1328",NA,"QUEAGR","PSEMEN","PSEMEN",NA,1,2,0,0
"3961",4995,"PPW1328","PPW1328",NA,NA,"FRACAL","PSEMEN",NA,NA,1,2,0,0
"4025",5059,"PPW1346","PPW1346","PPW1346",NA,"QUEGAR","QUEKEL","QUEGAR",NA,1,2,0,0
"4048",5082,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4049",5083,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4050",5084,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4051",5085,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4065",5099,"PPW1346","PPW1346","PPW1346",NA,"QUEGAR","QUEKEL","QUEGAR",NA,1,2,0,0
"4071",5105,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4072",5106,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4087",5121,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4089",5123,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4090",5124,"PPW1346","PPW1346","PPW1346",NA,"QUEGAR","QUEAGR","QUEAGR",NA,1,2,0,0
"4091",5125,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4096",5130,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4113",5147,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4114",5148,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4115",5149,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4116",5150,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4117",5151,"PPW1346","PPW1346","PPW1346",NA,"CEACUN","CERBET","CERBET",NA,1,2,0,0
"4134",5514,NA,"PPW1312","PPW1312","PPW1312",NA,"ARBMEN","ARBMEN","UMBCAL",1,2,0,0
"4153",5533,NA,"PPW1312","PPW1312","PPW1312",NA,"UMBCAL","UMBCAL","HETARB",1,2,0,0
"4185",5567,NA,"PPW1312","PPW1312","PPW1312",NA,"UMBCAL","QUEAGR","QUEAGR",1,2,0,0
"4188",5571,NA,"PPW1312","PPW1312","PPW1312",NA,"UMBCAL","UMBCAL","QUEAGR",1,2,0,0
"4259",5645,NA,"PPW1346","PPW1346",NA,NA,"QUEKEL","QUEGAR",NA,1,2,0,0
"4378",5765,NA,"PPW1335","PPW1335","PPW1335",NA,"UMBCAL","UMBCAL","AESCAL",1,2,0,0
"4445",5832,NA,"PPW1303","PPW1303","PPW1303",NA,"QUEAGR","QUEDOU","QUEDOU",1,2,0,0
"4663",6093,NA,"PPW1852","PPW1852",NA,NA,"QUEKEL","QUEGAR",NA,1,2,0,0
"5032",6463,NA,NA,"PPW1337","PPW1337",NA,NA,"BACPIL","ARBMEN",1,2,0,0
"5414",6846,NA,NA,"PPW1347","PPW1347",NA,NA,"AMOCAL","UMBCAL",1,2,0,0
"5424",6856,NA,NA,"PPW1327","PPW1327",NA,NA,"RHACRO","FRACAL",1,2,0,0
"256",1265,"PPW1311",NA,"PPW1311","PPW1311","QUEDOU",NA,"QUEDOU","QUEDOU",1,1,1,0
"258",1267,"PPW1311",NA,"PPW1311","PPW1311","QUEDOU",NA,"QUEDOU","QUEDOU",1,1,1,0
"713",1725,"PPW1313",NA,"PPW1313","PPW1313","HETARB",NA,"HETARB","HETARB",1,1,1,0
"1158",2171,"PPW1343",NA,"PPW1343","PPW1343","PSEMEN",NA,"PSEMEN","PSEMEN",1,1,1,0
"1170",2184,"PPW1343",NA,"PPW1343","PPW1343","UMBCAL",NA,"UMBCAL","UMBCAL",1,1,1,0
"1538",2552,"PPW1339",NA,"PPW1339",NA,"PSEMEN",NA,"PSEMEN",NA,1,1,1,0
"1540",2554,"PPW1339",NA,"PPW1339","PPW1339","QUEAGR",NA,"QUEAGR","QUEAGR",1,1,1,0
"1541",2555,"PPW1339",NA,"PPW1339","PPW1339","UMBCAL",NA,"UMBCAL","UMBCAL",1,1,1,0
"1542",2556,"PPW1339",NA,"PPW1339","PPW1339","QUEAGR",NA,"QUEAGR","QUEAGR",1,1,1,0
"2315",3337,"PPW1337",NA,"PPW1337","PPW1337","PSEMEN",NA,"PSEMEN","PSEMEN",1,1,1,0
"2440",3462,"PPW1330",NA,"PPW1330",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"2462",3484,"PPW1330",NA,"PPW1330",NA,"AMOCAL",NA,"AMOCAL",NA,1,1,1,0
"2560",3585,"PPW1326",NA,"PPW1326",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"2767",3792,"PPW1330",NA,"PPW1330",NA,"AMOCAL",NA,"AMOCAL",NA,1,1,1,0
"2774",3799,"PPW1330",NA,"PPW1330",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"2810",3835,"PPW1330",NA,"PPW1330",NA,"AMOCAL",NA,"AMOCAL",NA,1,1,1,0
"2811",3836,"PPW1330",NA,"PPW1330",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"2814",3839,"PPW1330",NA,"PPW1330",NA,"QUEAGR",NA,"QUEAGR",NA,1,1,1,0
"2838",3863,"PPW1330",NA,"PPW1330",NA,"AMOCAL",NA,"AMOCAL",NA,1,1,1,0
"2840",3865,"PPW1330",NA,"PPW1330",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"2848",3873,"PPW1330",NA,"PPW1330",NA,"AMOCAL",NA,"AMOCAL",NA,1,1,1,0
"2850",3875,"PPW1330",NA,"PPW1330",NA,"ARBMEN",NA,"ARBMEN",NA,1,1,1,0
"2862",3887,"PPW1330",NA,"PPW1330",NA,"PSEMEN",NA,"PSEMEN",NA,1,1,1,0
"2932",3957,"PPW1330",NA,"PPW1330",NA,"UMBCAL",NA,"UMBCAL",NA,1,1,1,0
"3037",4062,"PPW1330",NA,"PPW1330",NA,"ARBMEN",NA,"ARBMEN",NA,1,1,1,0
"3147",4174,"PPW1330",NA,"PPW1330",NA,"QUEAGR",NA,"QUEAGR",NA,1,1,1,0
"3308",4335,"PPW1350",NA,"PPW1350",NA,"PSEMEN",NA,"PSEMEN",NA,1,1,1,0
"3637",4669,"PPW1328",NA,"PPW1328",NA,"QUEAGR",NA,"QUEAGR",NA,1,1,1,0
"414",1423,"PPW1312","PPW1312",NA,"PPW1312","QUEAGR","QUEAGR",NA,"QUEAGR",1,1,0,1
"579",1590,"PPW1312","PPW1312",NA,"PPW1312","UMBCAL","UMBCAL",NA,"UMBCAL",1,1,0,1
